T10,Public Expenditure on Education (2021),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
184,Cook Islands,2016,Capital expenditure as % of total expenditure in public institutions (%),2.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
184,Cook Islands,2016,Basic access to computers by level of education: Primary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
184,Cook Islands,2016,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
184,Cook Islands,2016,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
184,Cook Islands,2016,Public expenditure on education (% of GDP),4.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2004,Public expenditure on education (% of GDP),4.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2010,Public expenditure on education (% of GDP),6.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2015,Public expenditure on education (% of GDP),7.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),39.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2018,All staff compensation as % of total expenditure in public institutions (%),57.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2018,Capital expenditure as % of total expenditure in public institutions (%),2.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2018,Basic access to computers by level of education: Primary,63.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2018,Basic access to computers by level of education: Lower secondary,67,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2018,Basic access to computers by level of education: Upper secondary,67,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2018,Public expenditure on education (% of GDP),7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),40,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2019,All staff compensation as % of total expenditure in public institutions (%),58.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2019,Capital expenditure as % of total expenditure in public institutions (%),1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
188,Costa Rica,2019,Public expenditure on education (% of GDP),7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2005,Public expenditure on education (% of GDP),4.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2010,All staff compensation as % of total expenditure in public institutions (%),71.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2010,Capital expenditure as % of total expenditure in public institutions (%),7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2010,Public expenditure on education (% of GDP),4.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2015,All staff compensation as % of total expenditure in public institutions (%),72.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2015,Capital expenditure as % of total expenditure in public institutions (%),5.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2015,Public expenditure on education (% of GDP),3.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2017,All staff compensation as % of total expenditure in public institutions (%),81.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2017,Capital expenditure as % of total expenditure in public institutions (%),6.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2017,Basic access to computers by level of education: Upper secondary,72,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2017,Public expenditure on education (% of GDP),3.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
384,Côte d’Ivoire,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
